epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,291.599,0.77268,0.875,0.94957,0.88853,0.88603,0.94893,0.56744,1.62571,1.08852,1.2474,0.001307,0.001307,0.001307
72,295.245,0.82692,0.81779,0.93972,0.88868,0.88724,0.88884,0.54928,1.59223,1.13641,1.23167,0.0012971,0.0012971,0.0012971
73,298.894,0.82956,0.83238,0.94146,0.88868,0.88724,0.88884,0.54928,1.59223,1.13641,1.23167,0.0012872,0.0012872,0.0012872
74,302.586,0.7312,0.81131,0.90877,0.88629,0.88889,0.89863,0.54782,1.67631,1.11255,1.25648,0.0012773,0.0012773,0.0012773
75,306.289,0.76502,0.72749,0.93005,0.88629,0.88889,0.89863,0.54782,1.67631,1.11255,1.25648,0.0012674,0.0012674,0.0012674
76,309.984,0.80635,0.81164,0.9483,0.88508,0.88889,0.90944,0.54998,1.6746,1.02346,1.31096,0.0012575,0.0012575,0.0012575
77,313.704,0.7309,0.72778,0.91297,0.88508,0.88889,0.90944,0.54998,1.6746,1.02346,1.31096,0.0012476,0.0012476,0.0012476
78,317.472,0.69979,0.69195,0.88663,0.88476,0.88889,0.88306,0.51919,1.70194,1.01632,1.31836,0.0012377,0.0012377,0.0012377
79,321.091,0.74737,0.67355,0.9224,0.88476,0.88889,0.88306,0.51919,1.70194,1.01632,1.31836,0.0012278,0.0012278,0.0012278
80,324.807,0.82209,0.74865,0.96555,0.87844,0.88889,0.86078,0.47753,1.76927,1.12228,1.33536,0.0012179,0.0012179,0.0012179
81,328.452,0.89396,0.78462,0.94505,0.87844,0.88889,0.86078,0.47753,1.76927,1.12228,1.33536,0.001208,0.001208,0.001208
82,332.093,0.89089,0.69479,0.92688,0.87995,0.88889,0.86078,0.51123,1.64369,1.1128,1.26614,0.0011981,0.0011981,0.0011981
83,335.812,0.7444,0.71814,0.93791,0.87995,0.88889,0.86078,0.51123,1.64369,1.1128,1.26614,0.0011882,0.0011882,0.0011882
84,339.53,0.829,0.74403,0.96354,0.88252,0.88889,0.86078,0.51777,1.59388,1.14426,1.2322,0.0011783,0.0011783,0.0011783
85,343.207,0.73606,0.83676,0.92751,0.88252,0.88889,0.86078,0.51777,1.59388,1.14426,1.2322,0.0011684,0.0011684,0.0011684
86,346.91,0.84543,0.78042,0.95453,0.87487,0.88889,0.91556,0.55395,1.61073,1.08076,1.2319,0.0011585,0.0011585,0.0011585
87,350.602,0.72689,0.69369,0.90252,0.87487,0.88889,0.91556,0.55395,1.61073,1.08076,1.2319,0.0011486,0.0011486,0.0011486
88,354.362,0.77633,0.69862,0.89834,0.87727,0.88889,0.86078,0.55848,1.49623,0.95613,1.20978,0.0011387,0.0011387,0.0011387
89,358.02,0.7087,0.70223,0.92274,0.87727,0.88889,0.86078,0.55848,1.49623,0.95613,1.20978,0.0011288,0.0011288,0.0011288
90,361.956,0.7676,0.68867,0.94618,0.8799,0.88889,0.8847,0.5599,1.45322,0.95417,1.17708,0.0011189,0.0011189,0.0011189
91,365.621,0.82057,0.70296,0.91184,0.8799,0.88889,0.8847,0.5599,1.45322,0.95417,1.17708,0.001109,0.001109,0.001109
92,369.283,0.69602,0.64925,0.87508,0.88382,0.88889,0.86078,0.55207,1.49058,0.94423,1.21266,0.0010991,0.0010991,0.0010991
93,372.954,0.75006,0.73785,0.91401,0.88382,0.88889,0.86078,0.55207,1.49058,0.94423,1.21266,0.0010892,0.0010892,0.0010892
94,376.649,0.78198,0.67627,0.91342,0.88845,0.88535,0.87889,0.56165,1.53889,1.02091,1.23041,0.0010793,0.0010793,0.0010793
95,380.375,0.83509,0.68709,0.95694,0.88845,0.88535,0.87889,0.56165,1.53889,1.02091,1.23041,0.0010694,0.0010694,0.0010694
96,384.031,0.69354,0.61529,0.88503,0.88709,0.87449,0.88806,0.54828,1.5512,1.08208,1.22754,0.0010595,0.0010595,0.0010595
97,387.693,0.71942,0.72061,0.90727,0.88709,0.87449,0.88806,0.54828,1.5512,1.08208,1.22754,0.0010496,0.0010496,0.0010496
98,391.436,0.79783,0.92624,0.94337,0.85555,0.88889,0.86078,0.54763,1.54207,1.04862,1.21739,0.0010397,0.0010397,0.0010397
99,395.262,0.60948,0.64113,0.84439,0.85555,0.88889,0.86078,0.54763,1.54207,1.04862,1.21739,0.0010298,0.0010298,0.0010298
100,399.084,0.71586,0.66145,0.89613,0.87117,0.88889,0.86078,0.53314,1.58383,0.96085,1.2391,0.0010199,0.0010199,0.0010199
101,402.769,0.66861,0.61794,0.90404,0.87117,0.88889,0.86078,0.53314,1.58383,0.96085,1.2391,0.00101,0.00101,0.00101
102,406.445,0.65796,0.65238,0.9067,0.88397,0.88889,0.86078,0.51219,1.60559,0.91788,1.2753,0.0010001,0.0010001,0.0010001
103,410.113,0.59778,0.69577,0.87284,0.88397,0.88889,0.86078,0.51219,1.60559,0.91788,1.2753,0.0009902,0.0009902,0.0009902
104,413.811,0.61761,0.59439,0.85661,0.88841,0.88502,0.86078,0.50995,1.72661,0.99142,1.34581,0.0009803,0.0009803,0.0009803
105,417.536,0.64291,0.601,0.85247,0.88841,0.88502,0.86078,0.50995,1.72661,0.99142,1.34581,0.0009704,0.0009704,0.0009704
106,421.251,0.68316,0.66914,0.9509,0.88721,0.87546,0.873,0.52717,1.63949,0.9573,1.30099,0.0009605,0.0009605,0.0009605
107,425.001,0.75468,0.64505,0.96009,0.88721,0.87546,0.873,0.52717,1.63949,0.9573,1.30099,0.0009506,0.0009506,0.0009506
108,428.705,0.73057,0.62698,0.92405,0.88767,0.87917,0.873,0.53353,1.55549,0.87864,1.27121,0.0009407,0.0009407,0.0009407
109,432.307,0.67654,0.5693,0.89072,0.88767,0.87917,0.873,0.53353,1.55549,0.87864,1.27121,0.0009308,0.0009308,0.0009308
110,436.088,0.67644,0.58656,0.89992,0.88886,0.8887,0.873,0.51158,1.52565,0.83402,1.26025,0.0009209,0.0009209,0.0009209
111,439.743,0.56433,0.54975,0.86335,0.88886,0.8887,0.873,0.51158,1.52565,0.83402,1.26025,0.000911,0.000911,0.000911
112,443.435,0.61327,0.54401,0.864,0.88646,0.88889,0.87331,0.52277,1.55034,0.82518,1.27743,0.0009011,0.0009011,0.0009011
